GAME_ID,SEASON_YEAR,GAME_DATE,HOME_TEAM_ID,HOME_WL,AWAY_AST_PCT,AWAY_AST_PCT_RANK,AWAY_AST_RATIO,AWAY_AST_RATIO_RANK,AWAY_AST_TO,AWAY_AST_TO_RANK,AWAY_DEF_RATING,AWAY_DEF_RATING_RANK,AWAY_DREB_PCT,AWAY_DREB_PCT_RANK,AWAY_EFG_PCT,AWAY_EFG_PCT_RANK,AWAY_E_DEF_RATING,AWAY_E_NET_RATING,AWAY_E_OFF_RATING,AWAY_E_PACE,AWAY_FTA_RATE,AWAY_FTA_RATE_RANK,AWAY_GP_RANK,AWAY_L_RANK,AWAY_MIN,AWAY_MIN_RANK,AWAY_NET_RATING,AWAY_NET_RATING_RANK,AWAY_OFF_RATING,AWAY_OFF_RATING_RANK,AWAY_OPP_EFG_PCT,AWAY_OPP_EFG_PCT_RANK,AWAY_OPP_FTA_RATE,AWAY_OPP_FTA_RATE_RANK,AWAY_OPP_OREB_PCT,AWAY_OPP_OREB_PCT_RANK,AWAY_OPP_TOV_PCT,AWAY_OPP_TOV_PCT_RANK,AWAY_OREB_PCT,AWAY_OREB_PCT_RANK,AWAY_PACE,AWAY_PACE_PER40,AWAY_PACE_RANK,AWAY_PCT_AST_2PM,AWAY_PCT_AST_2PM_RANK,AWAY_PCT_AST_3PM,AWAY_PCT_AST_3PM_RANK,AWAY_PCT_AST_FGM,AWAY_PCT_AST_FGM_RANK,AWAY_PCT_FGA_2PT,AWAY_PCT_FGA_2PT_RANK,AWAY_PCT_FGA_3PT,AWAY_PCT_FGA_3PT_RANK,AWAY_PCT_PTS_2PT,AWAY_PCT_PTS_2PT_MR,AWAY_PCT_PTS_2PT_MR_RANK,AWAY_PCT_PTS_2PT_RANK,AWAY_PCT_PTS_3PT,AWAY_PCT_PTS_3PT_RANK,AWAY_PCT_PTS_FB,AWAY_PCT_PTS_FB_RANK,AWAY_PCT_PTS_FT,AWAY_PCT_PTS_FT_RANK,AWAY_PCT_PTS_OFF_TOV,AWAY_PCT_PTS_OFF_TOV_RANK,AWAY_PCT_PTS_PAINT,AWAY_PCT_PTS_PAINT_RANK,AWAY_PCT_UAST_2PM,AWAY_PCT_UAST_2PM_RANK,AWAY_PCT_UAST_3PM,AWAY_PCT_UAST_3PM_RANK,AWAY_PCT_UAST_FGM,AWAY_PCT_UAST_FGM_RANK,AWAY_PIE,AWAY_PIE_RANK,AWAY_POSS,AWAY_REB_PCT,AWAY_REB_PCT_RANK,AWAY_TEAM_ID,AWAY_TM_TOV_PCT,AWAY_TM_TOV_PCT_RANK,AWAY_TS_PCT,AWAY_TS_PCT_RANK,AWAY_W_PCT_RANK,AWAY_W_RANK,HOME_AST_PCT,HOME_AST_PCT_RANK,HOME_AST_RATIO,HOME_AST_RATIO_RANK,HOME_AST_TO,HOME_AST_TO_RANK,HOME_DEF_RATING,HOME_DEF_RATING_RANK,HOME_DREB_PCT,HOME_DREB_PCT_RANK,HOME_EFG_PCT,HOME_EFG_PCT_RANK,HOME_E_DEF_RATING,HOME_E_NET_RATING,HOME_E_OFF_RATING,HOME_E_PACE,HOME_FTA_RATE,HOME_FTA_RATE_RANK,HOME_GP_RANK,HOME_L_RANK,HOME_MIN,HOME_MIN_RANK,HOME_NET_RATING,HOME_NET_RATING_RANK,HOME_OFF_RATING,HOME_OFF_RATING_RANK,HOME_OPP_EFG_PCT,HOME_OPP_EFG_PCT_RANK,HOME_OPP_FTA_RATE,HOME_OPP_FTA_RATE_RANK,HOME_OPP_OREB_PCT,HOME_OPP_OREB_PCT_RANK,HOME_OPP_TOV_PCT,HOME_OPP_TOV_PCT_RANK,HOME_OREB_PCT,HOME_OREB_PCT_RANK,HOME_PACE,HOME_PACE_PER40,HOME_PACE_RANK,HOME_PCT_AST_2PM,HOME_PCT_AST_2PM_RANK,HOME_PCT_AST_3PM,HOME_PCT_AST_3PM_RANK,HOME_PCT_AST_FGM,HOME_PCT_AST_FGM_RANK,HOME_PCT_FGA_2PT,HOME_PCT_FGA_2PT_RANK,HOME_PCT_FGA_3PT,HOME_PCT_FGA_3PT_RANK,HOME_PCT_PTS_2PT,HOME_PCT_PTS_2PT_MR,HOME_PCT_PTS_2PT_MR_RANK,HOME_PCT_PTS_2PT_RANK,HOME_PCT_PTS_3PT,HOME_PCT_PTS_3PT_RANK,HOME_PCT_PTS_FB,HOME_PCT_PTS_FB_RANK,HOME_PCT_PTS_FT,HOME_PCT_PTS_FT_RANK,HOME_PCT_PTS_OFF_TOV,HOME_PCT_PTS_OFF_TOV_RANK,HOME_PCT_PTS_PAINT,HOME_PCT_PTS_PAINT_RANK,HOME_PCT_UAST_2PM,HOME_PCT_UAST_2PM_RANK,HOME_PCT_UAST_3PM,HOME_PCT_UAST_3PM_RANK,HOME_PCT_UAST_FGM,HOME_PCT_UAST_FGM_RANK,HOME_PIE,HOME_PIE_RANK,HOME_POSS,HOME_REB_PCT,HOME_REB_PCT_RANK,HOME_TM_TOV_PCT,HOME_TM_TOV_PCT_RANK,HOME_TS_PCT,HOME_TS_PCT_RANK,HOME_W_PCT_RANK,HOME_W_RANK
0022201122,2022-23,2023-03-27,1610612765,2.0,0.5789000000000001,1030.75,17.245,1047.35,1.8340000000000003,995.95,105.00999999999999,811.45,0.67535,1120.3,0.52465,982.7,103.7,5.129999999999996,108.83000000000001,95.92999999999999,0.29595000000000005,701.8,0.95,222.15,46.1,134.15,4.3749999999999964,802.85,109.38999999999999,971.15,0.50705,918.35,0.25905,1043.45,0.27465,1120.3,0.14650000000000002,793.6,0.284,839.75,95.044,79.2025,1027.25,0.5052999999999999,949.2,0.7737500000000003,1126.2,0.5789000000000001,1030.75,0.60835,804.95,0.34164999999999995,1293.15,0.5019,0.05974999999999999,1289.85,981.9,0.2822,1218.85,0.09195000000000003,1314.5,0.1658,852.55,0.13995000000000002,1062.05,0.4422499999999999,865.6,0.44469999999999993,1144.7,0.17629999999999996,903.85,0.3710999999999999,1061.2,0.5067000000000002,770.1,96.4,0.48294999999999993,930.65,1610612751.65,0.13119999999999998,1025.3,0.5584,974.8,222.15,222.15,0.586,928.55,17.065,1067.85,1.5989999999999998,1226.1,109.38999999999999,1127.9,0.666,1250.6,0.50705,1181.45,108.83000000000001,-5.129999999999996,103.7,95.92999999999999,0.25905,1055.1,0.95,830.45,46.1,134.15,-4.3749999999999964,1299.45,105.00999999999999,1288.65,0.52465,1116.0,0.29595000000000005,1395.5,0.28400000000000003,1250.6,0.13119999999999998,1067.65,0.27464999999999995,974.85,95.044,79.2025,1027.25,0.49845000000000006,940.6,0.7944500000000001,973.4,0.586,928.55,0.5922499999999999,951.3,0.35775,1144.35,0.5031000000000001,0.07784999999999999,931.2,955.1,0.29664999999999997,1104.9,0.0958,1292.0,0.15035000000000004,1119.9,0.13999999999999999,1032.4,0.42525,969.45,0.4516,1141.35,0.15559999999999993,1037.1,0.364,1157.2,0.44329999999999997,1332.2,95.8,0.4670500000000001,1167.9,0.14650000000000002,1299.2,0.5386,1239.95,830.45,830.45
0022201123,2022-23,2023-03-27,1610612754,2.0,0.5815,958.1,17.815,888.45,1.8489999999999998,1036.75,110.49000000000001,1149.7,0.6999500000000001,920.25,0.5369499999999999,905.2,107.495,3.6499999999999986,111.16499999999999,98.95500000000001,0.2629,995.75,0.95,498.65,46.1,128.75,2.1249999999999964,956.3,112.62,847.6,0.52355,1099.25,0.2511,1062.05,0.2501,920.25,0.12689999999999999,1155.65,0.2872,897.0,96.931,80.775,745.65,0.49944999999999995,959.2,0.7783500000000002,1085.7,0.5815,958.1,0.60185,962.05,0.34814999999999996,1135.05,0.4983000000000001,0.07880000000000001,985.25,1044.1,0.29545000000000005,1047.15,0.12135,985.8,0.1561,1017.9,0.13945000000000002,1048.4,0.4196,1073.5,0.4506,1131.75,0.17179999999999998,960.75,0.36849999999999994,1131.9,0.4835000000000001,987.7,97.95,0.49474999999999997,810.2,1610612749.85,0.13735,1136.35,0.5731499999999999,902.65,498.65,498.65,0.595,847.9,17.925,847.85,1.9799999999999998,856.5,112.62,1250.15,0.6628499999999999,1196.05,0.52355,1000.65,111.16499999999999,-3.6499999999999986,107.495,98.95500000000001,0.2511,1035.8,0.95,553.95,46.1,128.75,-2.1249999999999964,1145.9,110.49000000000001,947.8,0.5369499999999999,1194.6,0.2629,1101.05,0.2872,1196.05,0.13735,953.75,0.2501,1173.85,96.931,80.775,745.65,0.5151,799.05,0.78445,1019.3,0.595,847.9,0.56675,1189.35,0.38325,909.85,0.48019999999999996,0.06069999999999999,1172.9,1117.55,0.31284999999999996,1007.5,0.16765,464.85,0.157,966.65,0.14100000000000001,1066.8,0.41950000000000004,1024.6,0.43495,1283.15,0.1655499999999999,985.35,0.3549999999999999,1239.2,0.4665,1114.6,97.95,0.45525000000000004,1284.6,0.12689999999999999,935.45,0.5615,973.3,553.95,553.95
0022201124,2022-23,2023-03-27,1610612752,2.0,0.6028,810.25,17.825,880.95,2.1450000000000005,693.85,113.4,1352.5,0.6519,1324.3,0.5075000000000001,1156.5,111.225,-5.425000000000002,105.80500000000002,93.73499999999999,0.2587,1091.1,0.95,664.55,46.35,122.35,-4.830000000000003,1266.8,108.56500000000001,1018.65,0.5230499999999999,1066.65,0.30219999999999997,1396.35,0.2981,1324.3,0.11800000000000002,1289.25,0.2513,1196.4,91.65950000000001,76.38300000000001,1434.75,0.51135,886.1,0.8237000000000002,800.25,0.6028,810.25,0.5681,1172.45,0.3819,924.15,0.48495,0.09734999999999999,730.25,1076.1,0.3088,1013.05,0.08705,1380.35,0.15625,1080.75,0.11805000000000002,1307.3,0.3875,1279.15,0.43865,1182.05,0.12629999999999997,1173.75,0.3471999999999999,1276.05,0.4635000000000001,1148.35,93.15,0.44805,1408.0,1610612751.2,0.11664999999999999,760.25,0.5435000000000001,1156.1,664.55,664.55,0.4998,1444.8,15.225,1393.3,1.848,1045.3,108.56500000000001,1079.55,0.69875,893.05,0.5230499999999999,1033.45,105.80500000000002,5.425000000000002,111.225,93.73499999999999,0.30219999999999997,702.55,0.95,388.05,46.35,122.35,4.830000000000003,835.35,113.4,746.95,0.5075000000000001,942.15,0.2587,1005.0,0.2513,893.05,0.11664999999999999,1333.85,0.2981,766.45,91.65950000000001,76.38300000000001,1434.75,0.37495,1591.9,0.7844,1076.25,0.4998,1444.8,0.5667,1192.6,0.3833,906.2,0.46740000000000004,0.06834999999999998,1047.65,1236.35,0.31029999999999996,992.35,0.0666,1650.5,0.17215,801.9,0.11645000000000001,1359.8,0.39905,1236.05,0.5750500000000001,493.45,0.16559999999999994,937.9,0.4502,648.05,0.48650000000000004,953.75,93.15,0.50195,687.3,0.11800000000000002,805.85,0.55995,995.15,388.05,388.05
0022201125,2022-23,2023-03-28,1610612762,2.0,0.57365,1039.95,17.490000000000002,1020.25,2.4435000000000002,615.85,109.05499999999999,1104.75,0.6505,1380.1,0.5128,1141.25,106.66499999999999,1.0899999999999954,107.75,97.49,0.22975000000000004,1254.25,0.95,553.95,45.85,135.15,0.654999999999996,1021.5,109.71999999999998,983.45,0.49890000000000007,841.55,0.2956,1322.1,0.2995,1380.1,0.1367,986.85,0.25405,1167.4,95.474,79.56300000000002,909.85,0.48525,1027.0,0.7863500000000003,973.6,0.57365,1039.95,0.5625,1212.3,0.38754999999999995,886.6,0.47845000000000004,0.0652,1139.2,1125.65,0.333,900.5,0.12965000000000002,915.45,0.1386,1235.9,0.12915,1160.05,0.41335,1079.75,0.46475,1043.8,0.16364999999999996,1023.85,0.37634999999999985,1047.8,0.4745500000000001,1056.0,96.15,0.4516,1339.2,1610612751.8,0.10494999999999999,592.5,0.5424,1182.4,553.95,553.95,0.5640000000000001,1072.95,16.225,1212.7,1.8084999999999998,1137.85,109.71999999999998,1114.15,0.6959500000000001,925.15,0.49890000000000007,1254.9,107.75,-1.0899999999999954,106.66499999999999,97.49,0.2956,776.05,0.95,498.65,45.85,135.15,-0.654999999999996,1080.7,109.05499999999999,993.8,0.5128,955.6,0.22975000000000004,842.75,0.25405000000000005,925.15,0.10494999999999999,1502.7,0.2995,701.95,95.474,79.56300000000002,909.85,0.4667,1089.45,0.7797000000000003,1071.6,0.5640000000000001,1072.95,0.54735,1359.35,0.40264999999999995,735.9,0.45264999999999994,0.038749999999999986,1564.0,1376.1,0.31800000000000006,926.05,0.0945,1243.75,0.17925,721.45,0.1226,1310.1,0.41385000000000005,1094.8,0.4833,979.55,0.1703499999999999,924.65,0.38599999999999995,1012.85,0.47545000000000004,1046.3,95.85,0.4984,750.6,0.1367,1106.95,0.54105,1188.9,498.65,498.65
0022201126,2022-23,2023-03-28,1610612743,2.0,0.5982999999999999,878.0,17.494999999999997,969.65,1.9600000000000002,962.4,116.285,1533.2,0.6511,1336.95,0.4986499999999999,1228.45,113.83500000000001,-9.909999999999998,103.94000000000001,95.735,0.27040000000000003,943.0,0.95,885.75,45.85,135.15,-10.52,1540.9,105.76500000000001,1193.75,0.56265,1465.2,0.254,1029.95,0.29890000000000005,1336.95,0.12974999999999998,1106.6,0.24545000000000003,1226.8,93.9085,78.25699999999999,1122.45,0.5249999999999999,812.2,0.8183000000000001,871.3,0.5982999999999999,878.0,0.6009,892.5,0.34909999999999997,1205.95,0.52145,0.08225,930.6,829.05,0.26044999999999996,1387.45,0.10634999999999999,1140.45,0.168,855.6,0.13915,1054.15,0.4391,880.45,0.425,1274.7,0.1317,1127.65,0.35169999999999996,1209.95,0.4173,1560.15,94.25,0.4423,1461.1,1610612749.6,0.1293,961.25,0.5388,1173.65,885.75,885.75,0.644,498.3,20.279999999999998,408.95,2.2285,569.65,105.76500000000001,904.2,0.70455,865.95,0.56265,632.1,103.94000000000001,9.909999999999998,113.83500000000001,95.735,0.254,1068.05,0.95,166.85,45.85,135.15,10.52,561.3,116.285,565.5,0.4986499999999999,870.95,0.27040000000000003,1152.8,0.24545,865.95,0.1293,1132.95,0.2989,748.35,93.9085,78.25699999999999,1122.45,0.6098,337.95,0.72685,1356.1,0.644,498.3,0.5903,1003.85,0.3597,1090.15,0.5063,0.0676,1082.65,916.45,0.30775,1008.5,0.1413,717.15,0.13584999999999997,1294.05,0.12395,1230.95,0.43895,880.15,0.34025000000000005,1748.95,0.22319999999999998,692.55,0.306,1586.7,0.5327,542.05,94.6,0.5077,637.15,0.12974999999999998,985.0,0.58765,677.25,166.85,166.85
0022201127,2022-23,2023-03-28,1610612757,2.0,0.5776,1010.5,18.45,742.25,2.237,661.1,114.38999999999999,1276.15,0.7069,866.15,0.5562,680.45,111.60499999999999,4.624999999999996,116.21,95.3,0.25650000000000006,1060.9,0.95,443.35,45.6,141.55,3.3499999999999988,888.25,117.72999999999999,476.05,0.5403999999999999,1204.9,0.29505000000000003,1307.25,0.2431,866.15,0.1251,1203.8,0.29505,769.1,93.475,77.89599999999999,1205.65,0.4725499999999999,1108.6,0.8125000000000002,915.4,0.5776,1010.5,0.58625,976.25,0.36374999999999996,1121.8,0.4808,0.06255,1179.5,1135.7,0.3221,970.75,0.10140000000000002,1187.95,0.14715,1120.65,0.13215,1185.1,0.41819999999999996,1053.55,0.47745000000000004,968.3,0.13749999999999998,1102.2,0.3724499999999999,1075.6,0.5009,850.0,93.7,0.5016499999999999,677.5,1610612748.55,0.11889999999999998,808.5,0.58895,659.4,443.35,443.35,0.5555999999999999,1160.6,17.09,1088.2,1.9794999999999998,990.05,117.72999999999999,1622.7,0.65495,1321.95,0.5403999999999999,896.45,116.21,-4.624999999999996,111.60499999999999,95.3,0.29505000000000003,790.65,0.95,609.25,45.6,141.55,-3.3499999999999988,1213.6,114.38999999999999,822.3,0.5562,1419.45,0.25650000000000006,1035.8,0.29505000000000003,1321.95,0.11889999999999998,1280.85,0.2431,1224.35,93.475,77.89599999999999,1205.65,0.47735000000000005,1049.3,0.7113499999999999,1445.1,0.5555999999999999,1160.6,0.52975,1474.95,0.42024999999999996,624.1,0.44265,0.06599999999999998,1092.3,1396.35,0.3298,871.3,0.1216,960.25,0.17750000000000002,741.5,0.11460000000000001,1333.1,0.37665000000000004,1364.3,0.4727,1016.05,0.23869999999999997,618.15,0.3944,929.65,0.44909999999999994,1252.2,93.25,0.4483499999999999,1422.25,0.1251,888.65,0.5845499999999999,812.6,609.25,609.25
0022201128,2022-23,2023-03-28,1610612758,2.0,0.5811999999999999,981.3,18.71,700.1,2.2455000000000003,734.7,119.165,1650.75,0.7001999999999999,921.6,0.5573,680.15,117.83,-5.290000000000004,112.55,96.22,0.22485000000000005,1262.9,0.95,609.25,45.85,135.15,-4.6350000000000025,1253.95,114.53,715.9,0.57105,1587.0,0.2806,1257.05,0.24980000000000002,921.6,0.11639999999999999,1332.25,0.2582,1118.5,94.8335,79.027,991.05,0.46675000000000005,1129.25,0.8357500000000003,718.0,0.5811999999999999,981.3,0.5546499999999999,1284.2,0.39544999999999997,814.95,0.4955,0.071,1039.8,1010.55,0.3317,825.45,0.08510000000000001,1429.4,0.12295,1440.95,0.1149,1368.85,0.4243499999999999,993.95,0.48325000000000007,954.6,0.11429999999999996,1237.75,0.36884999999999996,1111.35,0.4490000000000001,1255.3,95.5,0.47350000000000003,1057.9,1610612749.4,0.12134999999999999,855.75,0.5806,777.1,609.25,609.25,0.6052,861.3,19.35,621.15,2.6029999999999998,609.1,114.53,1383.1,0.6918,972.6,0.57105,512.3,112.55,5.290000000000004,117.83,96.22,0.2806,840.45,0.95,443.35,45.85,135.15,4.6350000000000025,848.15,119.165,448.9,0.5573,1419.8,0.22485000000000005,834.05,0.25820000000000004,972.6,0.12134999999999999,1234.3,0.24980000000000002,1171.55,94.8335,79.027,991.05,0.48835000000000006,1059.45,0.8634499999999999,591.25,0.6052,861.3,0.55465,1294.7,0.39535,801.95,0.45994999999999997,0.05744999999999998,1248.4,1301.8,0.3315,903.05,0.09580000000000001,1296.0,0.15845,939.1,0.13805,1054.6,0.40265000000000006,1177.65,0.4616500000000001,1025.9,0.08659999999999993,1432.25,0.34479999999999994,1230.6,0.501,847.05,95.2,0.47650000000000003,1035.85,0.11639999999999999,760.7,0.60745,452.65,443.35,443.35
0022201129,2022-23,2023-03-28,1610612746,2.0,0.54855,1223.55,16.779999999999998,1135.15,1.8210000000000002,1038.95,112.2,1183.95,0.68115,1144.65,0.5267000000000001,969.65,110.405,-3.0400000000000014,107.35,94.53999999999999,0.25205,1128.65,0.95,498.65,46.1,134.15,-3.5,1165.85,108.68999999999998,1052.45,0.53845,1191.65,0.27344999999999997,1131.05,0.26885,1144.65,0.13155,1081.85,0.25220000000000004,1101.0,93.175,77.6465,1262.65,0.46259999999999996,1140.3,0.76195,1215.45,0.54855,1223.55,0.5826,1045.25,0.3674,1050.85,0.49155,0.05025,1360.65,1043.8,0.3109,989.55,0.11895,1040.9,0.14745,1184.85,0.14554999999999998,1001.6,0.44135,862.35,0.48739999999999994,932.75,0.18805,787.7,0.4014499999999999,860.1,0.46195,1137.15,94.3,0.46209999999999996,1161.35,1610612750.3,0.1288,958.1,0.5584,999.1,498.65,498.65,0.5429999999999999,1236.3,16.794999999999998,1184.6,1.9515,1095.1,108.68999999999998,1047.05,0.6978000000000001,989.05,0.53845,904.7,107.35,3.0400000000000014,110.405,94.53999999999999,0.27344999999999997,965.3,0.95,553.95,46.1,134.15,3.5,936.3,112.2,915.65,0.5267000000000001,1127.25,0.25205,970.15,0.25220000000000004,989.05,0.1288,1134.25,0.26885,942.8,93.175,77.6465,1262.65,0.4429499999999999,1246.25,0.7911499999999999,1007.15,0.5429999999999999,1236.3,0.6013499999999999,888.5,0.34865,1208.15,0.493,0.098,650.7,1050.6,0.29855,1054.1,0.10195000000000001,1213.5,0.15855,1039.25,0.13735000000000003,1053.55,0.39490000000000003,1232.6,0.5071000000000001,829.15,0.15889999999999996,993.4,0.4069999999999999,855.6,0.48805000000000004,965.05,94.3,0.48790000000000006,923.3,0.13155,1010.9,0.5743,891.9,553.95,553.95
